event_id,title,series,speaker,start,end,location,abstract,updated_at
2793,A Birefringence-Blind Consistency Test of the Planck Cosmic Birefringence Hint,Astrophysics and Cosmology,Anto I. Lonappan (UCSD),2026-09-28T12:00:00-07:00,2026-09-28T13:00:00-07:00,Mayer Room 4322,"Abstract:
Several analyses of Planck, ACT, and WMAP data report a small uniform rotation of CMB polarization, β ≈ 0.3–0.4°. If real, this would be evidence of parity-violating physics such as axion-like fields coupled to photons. At this level, however, the signal is exactly degenerate with an overall miscalibration of the detectors' polarization angles. The leading method, the Minami–Komatsu (MK) likelihood, breaks this degeneracy by using Galactic dust as a calibrator. That makes its detector angles, and therefore β, dependent on how the dust EB correlation is modeled.
In this talk, I will present a complementary test that never uses that foreground model. For any pair of maps, the cosmic rotation cancels exactly, leaving only the relative instrumental angle. We measure these relative angles from antisymmetric and symmetric cross-spectra. We then combine all pairs into a gauge-fixed calibration network, with maps as nodes and pairwise angles as edges, to reconstruct each detector's calibration offset.
Applied to eight Planck NPIPE detector-set maps, the network reconstruction agrees with the MK calibration pattern (χ² = 8.18 for 7 degrees of freedom, PTE = 0.32), with no map deviating by more than 1.8σ. I will explain what this does and does not tell us. Because both methods use the same maps, this is an independent method rather than independent data. It supports the calibration foundation of the β hint but cannot fix its absolute zero point.
I will close by discussing how a sub-0.1° external calibration anchor, combined with this network, could deliver an absolute birefringence measurement. This will be possible with BICEP/Keck, SPT-3G, the Simons Observatory, and LiteBIRD.
About the Astro/Cosmology Seminar series:
The Center for Dark Cosmology and Gravitation seminar series (aka, the Department of Physics Astrophysics and Cosmology Seminar) will showcase key developments in astrophysics and cosmology, the implications of these for fundamental physics, and vice versa, the implications of laboratory particle physics discoveries for our understanding of the cosmos. Among the outstanding issues in physics, the nature of the dark matter and dark energy and the origin of the supermassive black holes very early in the history of the universe stand out as venues where beyond standard model physics is at play or likely plays a role. The pace of discovery in this field is breathtaking. The advent of gravitational wave observatories, the James Webb Space Telescope, and the Simons Observatory for the cosmic microwave background all complement a host of laboratory experiments including LHC, short and long baseline neutrino oscillation experiments, neutrino less double beta decay searches, and direct dark matter detection experiments, to name just a few. Moreover, all of these research thrusts are underpinned by rapid development of computational capabilities and artificial intelligence. The CDCG is dedicated to facilitating and bridging laboratory, observational, theoretical and computational studies focussed on the cosmos.",09/25/2026
2772,Condensed Matter Seminar,Condensed Matter Seminar,Yuhang Deng,2026-10-07T16:00:00-07:00,2026-10-07T17:00:00-07:00,Mayer 4322,,09/20/2026
